acronym,id,parent_structure_id
DP02,535,814
DP02/3,360,814
DP05,646,814
DP06a,267,814
PIR,961,698
PIR1-3,152,961
PIR1,276,961
PIR2,284,961
PIR3,291,961
NLOT,619,698
NLOT1-3,392,619
NLOT1,260,619
NLOT2,268,619
NLOT3,1139,619
COA,631,698
COAa,639,631
COAa1,192,639
COAa2,200,639
COAa3,208,639
COAp,647,631
COApl,655,647
COApl1-2,584,655
COApl1-3,376,655
COApl1,216,655
COApl2,224,655
COApl3,232,655
COApm,663,647
COApm1-2,592,663
COApm1-3,383,663
COApm1,240,663
COApm2,248,663
COApm3,256,663
PAA,788,698
PAA1-3,400,788
PAA1,408,788
PAA2,416,788
PAA3,424,788
TR,566,698
TR1-3,517,566
TR1,1140,566
TR2,1141,566
TR3,1142,566
HPF,1089,695
HIP,1080,1089
CA,375,1080
CA1,382,375
CA1slm,391,382
CA1so,399,382
CA1sp,407,382
CA1sr,415,382
CA2,423,375
CA2slm,431,423
CA2so,438,423
CA2sp,446,423
CA2sr,454,423
CA3,463,375
CA3slm,471,463
CA3slu,479,463
CA3so,486,463
CA3sp,495,463
CA3sr,504,463
DG,726,1080
DG-mo,10703,726
DG-po,10704,726
DG-sg,632,726
DG-sgz,10702,726
DGcr,734,726
DGcr-mo,742,734
DGcr-po,751,734
DGcr-sg,758,734
DGlb,766,726
DGlb-mo,775,766
DGlb-po,782,766
DGlb-sg,790,766
DGmb,799,726
DGmb-mo,807,799
DGmb-po,815,799
DGmb-sg,823,799
FC,982,1080
IG,19,1080
RHP,822,1089
ENT,909,822
ENTl,918,909
ENTl1,1121,918
ENTl2,20,918
ENTl2/3,999,918
ENTl2a,715,918
ENTl2b,764,918
ENTl3,52,918
ENTl4,92,918
ENTl4/5,312,918
ENTl5,139,918
ENTl5/6,387,918
ENTl6a,28,918
ENTl6b,60,918
ENTm,926,909
ENTm1,526,926
ENTm2,543,926
ENTm2a,468,926
ENTm2b,508,926
ENTm3,664,926
ENTm4,712,926
ENTm5,727,926
ENTm5/6,550,926
ENTm6,743,926
ENTmv,934,909
ENTmv1,259,934
ENTmv2,324,934
ENTmv3,371,934
ENTmv4,419,934
ENTmv5/6,1133,934
PAR,843,822
PAR1,10693,843
PAR2,10694,843
PAR3,10695,843
POST,1037,822
POST1,10696,1037
POST2,10697,1037
POST3,10698,1037
PRE,1084,822
PRE1,10699,1084
PRE2,10700,1084
PRE3,10701,1084
SUB,502,822
SUBd,509,502
SUBd-m,829,509
SUBd-sp,845,509
SUBd-sr,837,509
SUBv,518,502
SUBv-m,853,518
SUBv-sp,870,518
SUBv-sr,861,518
ProS,484682470,822
ProSd,484682475,484682470
ProSd-m,484682479,484682475
ProSd-sp,484682483,484682475
ProSd-sr,484682487,484682475
ProSv,484682492,484682470
ProSv-m,484682496,484682492
ProSv-sp,484682500,484682492
Prosv-sr,484682504,484682492
APr,484682508,822
CTXsp,703,688
6b,16,703
CLAu,583,703
EP,942,703
EPd,952,942
EPv,966,942
LA0,131,703
BLA,295,703
BLAa,303,295
BLAp,311,295
BLAv,451,295
BMA,319,703
BMAa,327,319
BMAp,334,319
PA,780,703
CNU,623,567
STR,477,623
STRd,485,477
CP,672,485
STRv,493,477
ACB,56,493
FS,998,493
OT0,754,493
OT0isl,481,754
OT0islm,489,754
OT01-3,144,754
OT01,458,754
OT02,465,754
OT03,473,754
LSS,549009199,493
LSX,275,477
LS,242,275
LSc,250,242
LSr,258,242
LSv,266,242
SF,310,275
SH,333,275
sAMY,278,477
AAA,23,278
BA,292,278
CEA,536,278
CEAc,544,536
CEAl,551,536
CEAm,559,536
IA,1105,278
MEA,403,278
MEAad,411,403
MEAav,418,403
MEApd,426,403
MEApd-a,472,426
MEApd-b,480,426
MEApd-c,487,426
MEApv,435,403
PAL,803,623
PALd,818,803
GPe,1022,818
GPi,1031,818
PALv,835,803
SI,342,835
MA0,298,835
PALm,826,803
MSC,904,826
MS,564,904
NDB,596,904
TRS,581,826
PALc,809,803
BST,351,809
BSTa,359,351
BSTal,537,359
BSTam,498,359
BSTdm,505,359
BSTfu,513,359
BSTju,546,359
BSTmg,521,359
BSTov,554,359
BSTrh,562,359
BSTv,529,359
BSTp,367,351
BSTd,569,367
BSTpr,578,367
BSTif,585,367
BSTtr,594,367
BSTse,602,367
BAC,287,809
BS,343,8
IB,1129,343
TH,549,1129
DORsm,864,549
VENT,637,864
VAL,629,637
VM,685,637
VP,709,637
VPL,718,709
VPLpc,725,709
VPM,733,709
VPMpc,741,709
SPF,406,864
SPFm,414,406
SPFp,422,406
SPA,609,864
PP,1044,864
GENd,1008,864
MG,475,1008
MGd,1072,475
MGv,1079,475
MGm,1088,475
LGd,170,1008
LGd-sh,496345664,170
LGd-co,496345668,170
LGd-ip,496345672,170
DORpm,856,549
LAT,138,856
LP,218,138
PO0,1020,138
POL,1029,138
SGN,325,138
ATN,239,856
AV,255,239
AM,127,239
AMd,1096,127
AMv,1104,127
AD,64,239
IAM,1120,239
IAD,1113,239
LD,155,239
MED,444,856
IMD,59,444
MD0,362,444
MD0c,617,362
MD0l,626,362
MD0m,636,362
SMT,366,444
PR,1077,444
MTN,571,856
PVT,149,571
PT0,15,571
RE0,181,571
ILM,51,856
RH0,189,51
CM,599,51
PCN,907,51
CL0,575,51
PF,930,51
RT,262,856
GENv,1014,856
IGL,27,1014
LGv,178,1014
LGvl,300,178
LGvm,316,178
SubG,321,1014
EPI,958,856
MH0,483,958
LH,186,958
PIN,953,958
HY,1097,1129
PVZ,157,1097
SO0,390,157
ASO,332,157
ASONC,432,332
PVH,38,157
PVHm,71,38
PVHam,47,71
PVHmm,79,71
PVHpm,103,71
PVHpml,652,103
PVHpmm,660,103
PVHp,94,38
PVHap,55,94
PVHmpd,87,94
PVHpv,110,94
PVa,30,157
PVi,118,157
ARH,223,157
PVR,141,1097
ADP,72,141
AHA,80,141
AVP,263,141
AVPV,272,141
DMH,830,141
DMHa,668,830
DMHp,676,830
DMHv,684,830
MEPO,452,141
MPO,523,141
OV,763,141
PD,914,141
PS,1109,141
PSCH,1124,141
PVp,126,141
PVpo,133,141
SBPV,347,141
SCH,286,141
SFO,338,141
VLPO,689,141
MEZ,467,1097
AHN,88,467
AHNa,700,88
AHNc,708,88
AHNd,716,88
AHNp,724,88
MBO,331,467
LM,210,331
MM,491,331
Mmme,732,491
SUM,525,331
SUMl,1110,525
SUMm,1118,525
TM,557,331
TMd,1126,557
TMv,1,557
MPN,515,467
MPNc,740,515
MPNl,748,515
MPNm,756,515
PMd,980,467
PMv,1004,467
PVHd,63,467
PVHdp,439,63
PVHf,447,63
PVHlp,455,63
PVHmpv,464,63
VMH,693,467
VMHa,761,693
VMHc,769,693
VMHdm,777,693
VMHvl,785,693
PH,946,467
LZ,290,1097
LHA,194,290
LPO,226,290
PST,356,290
PSTN,364,290
RCH,173,290
STN0,470,290
TU0,614,290
ZI,797,290
A13,796,797
FF,804,797
ME,10671,1097
MB,313,343
MBsen,339,313
SCs,302,339
SCsop,851,302
SCssg,842,302
SCszo,834,302
IC,4,339
ICc,811,4
ICd,820,4
ICe,828,4
NB,580,339
SAG,271,339
PBG,874,339
MEV,460,339
MBmot,323,313
SNr,381,323
VTA,749,323
RR,246,323
RNM,128,323
RNMm,539,128
RNMmg,548,128
RNMp,555,128
SCm,294,323
SCmdg,26,294
SCmdw,42,294
SCmiw,17,294
SCmig,10,294
SCmig-a,494,10
SCmig-b,503,10
SCmig-c,511,10
PAG,795,323
PRC,50,795
INC,67,795
ND,587,795
PRT,1100,323
APN,215,1100
MPT,531,1100
NOT,628,1100
NPC,634,1100
OP0,706,1100
PPT,1061,1100
RPF,549009203,1100
InCo,549009207,323
CUN,616,323
RN0,214,323
III,35,323
MA3,549009211,323
EW,975,323
IV,115,323
VTN,757,323
AT,231,323
LT,66,323
DT,75,323
MT,58,323
SNl,615,323
MBsta,348,313
SNc,374,348
PPN,1052,348
RAmb,165,348
IF,12,165
IPN,100,165
RL,197,165
CLI,591,165
DR,872,165
HB,1065,343
P,771,1065
P-sen,1132,771
NLL,612,1132
NLLd,82,612
NLLh,90,612
NLLv,99,612
PSV,7,1132
PB,867,1132
KF,123,867
PBl,881,867
PBlc,860,881
PBld,868,881
PBle,875,881
PBls,883,881
PBlv,891,881
PBm,890,867
PBme,899,890
PBmm,915,890
PBmv,923,890
SOC,398,1132
POR,122,398
SOCm,105,398
SOCl,114,398
P-mot,987,771
B0,280,987
DTN,880,987
LTN,283,987
PCG,898,987
PG,931,987
PRNc,1093,987
PRNv,552,987
SG,318,987
SSN,462,987
SUT,534,987
TRN,574,987
V0,621,987
P5,549009215,987
Acs5,549009219,987
PC5,549009223,987
I5,549009227,987
P-sat,1117,771
CS,679,1117
CSl,137,679
CSm,130,679
LC,147,1117
LDT,162,1117
NI,604,1117
PRNr,146,1117
RPO,238,1117
SLC,350,1117
SLD,358,1117
MY,354,1065
MY-sen,386,354
AP,207,386
CN,607,386
CNlam,112,607
CNspg,560,607
DCO,96,607
VCO,101,607
DCN,720,386
CU,711,720
GR,1039,720
ECU,903,386
NTB,642,386
NTS,651,386
NTSce,659,651
NTSco,666,651
NTSge,674,651
NTSl,682,651
NTSm,691,651
SPVC,429,386
SPVI,437,386
SPVO,445,386
SPVOcdm,77,445
SPVOmdmd,53,445
SPVOmdmv,61,445
SPVOrdm,45,445
SPVOvl,69,445
z,789,386
MY-mot,370,354
VI0,653,370
ACVI,568,370
VII0,661,370
ACVII,576,370
EV,640,370
AMB,135,370
AMBd,939,135
AMBv,143,135
DMX,839,370
ECO,887,370
GRN,1048,370
ICB,372,370
IO,83,370
IRN,136,370
ISN,106,370
LIN,203,370
LRN,235,370
LRNm,955,235
LRNp,963,235
MARN,307,370
MDRN,395,370
MDRNd,1098,395
MDRNv,1107,395
PARN,852,370
PAS,859,370
PGRN,938,370
PGRNd,970,938
PGRNl,978,938
PHY,154,370
NIS,161,154
NR,177,154
PRP,169,154
PMR,995,370
PPY,1069,370
PPYd,185,1069
PPYs,193,1069
VNC,701,370
LAV,209,701
MV,202,701
SPIV,225,701
SUV,217,701
x0,765,370
XII,773,370
y0,781,370
INV,76,370
MY-sat,379,354
RM0,206,379
RPA,230,379
RO,222,379
CB,512,8
CBX,528,512
VERM,645,528
LING,912,645
LINGmo,10707,912
LINGpu,10706,912
LINGgr,10705,912
CENT,920,645
CENT2,976,920
CENT2mo,10710,976
CENT2pu,10709,976
CENT2gr,10708,976
CENT3,984,920
CENT3mo,10713,984
CENT3pu,10712,984
CENT3gr,10711,984
CUL,928,645
CUL4,992,928
CUL4mo,10716,992
CUL4pu,10715,992
CUL4gr,10714,992
CUL5,1001,928
CUL5mo,10719,1001
CUL5pu,10718,1001
CUL5gr,10717,1001
CUL4 5,1091,928
CUL4 5mo,10722,1091
CUL4 5pu,10721,1091
CUL4 5gr,10720,1091
DEC,936,645
DECmo,10725,936
DECpu,10724,936
DECgr,10723,936
FOTU,944,645
FOTUmo,10728,944
FOTUpu,10727,944
FOTUgr,10726,944
PYR,951,645
PYRmo,10731,951
PYRpu,10730,951
PYRgr,10729,951
UVU,957,645
UVUmo,10734,957
UVUpu,10733,957
UVUgr,10732,957
NOD,968,645
NODmo,10737,968
NODpu,10736,968
NODgr,10735,968
HEM,1073,528
SIM,1007,1073
SIMmo,10674,1007
SIMpu,10673,1007
SIMgr,10672,1007
AN,1017,1073
ANcr1,1056,1017
ANcr1mo,10677,1056
ANcr1pu,10676,1056
ANcr1gr,10675,1056
ANcr2,1064,1017
ANcr2mo,10680,1064
ANcr2pu,10679,1064
ANcr2gr,10678,1064
PRM,1025,1073
PRMmo,10683,1025
PRMpu,10682,1025
PRMgr,10681,1025
COPY,1033,1073
COPYmo,10686,1033
COPYpu,10685,1033
COPYgr,10684,1033
PFL,1041,1073
PFLmo,10689,1041
PFLpu,10688,1041
PFLgr,10687,1041
FL,1049,1073
FLmo,10692,1049
FLpu,10691,1049
FLgr,10690,1049
CBXmo,1144,528
CBXpu,1145,528
CBXgr,1143,528
CBN,519,512
FN,989,519
IP,91,519
DN,846,519
fiber tracts,1009,997
cm,967,1009
tn,885,967
von,949,967
In,840,967
onl,1016,840
lotg,21,840
lot,665,21
lotd,538,21
aolt,459,21
aco,900,840
IIn,848,967
aot,876,848
bsc,916,848
csc,336,848
och,117,848
opt,125,848
ttp,357,848
IIIn,832,967
mlf,62,832
pc,158,832
IVn,911,967
IVd,384,911
VIn,710,967
Vn,901,967
moV,93,901
sV,229,901
mtV,705,229
sptV,794,229
