acronym,id,parent_structure_id
PRE,10699,1084
PRE,10700,1084
PRE,10701,1084
SUB,502,822
SUBd,509,509
SUBd,829,509
SUBd,845,509
SUBd,837,509
SUBv,518,518
SUBv,853,518
SUBv,870,518
SUBv,861,518
ProS,484682470,822
ProSd,484682475,484682470
ProSd-m,484682479,484682475
ProSd-sp,484682483,484682475
ProSd-sr,484682487,484682475
ProSv,484682492,484682470
ProSv-m,484682496,484682492
ProSv-sp,484682500,484682492
Prosv-sr,484682504,484682492
AP,484682508,8
CTXsp,703,688
6b,16,703
CLAu,583,583
EP,942,703
EPd,952,952
EPv,966,966
LA0,131,131
BLA,295,295
BLA,303,295
BLA,311,295
BLA,451,295
BMA,319,319
BMA,327,319
BMA,334,319
PA,780,780
CNU,623,567
TR,477,566
TR,485,566
CP,672,672
TR,493,566
ACB,56,56
FS,998,998
OT0,754,754
OT0,481,754
OT0,489,754
OT0,144,754
OT0,458,754
OT0,465,754
OT0,473,754
LSS,549009199,493
LSX,275,477
LS,242,275
LSc,250,250
LSr,258,258
LSv,266,266
SF,310,310
SH,333,333
sAMY,278,477
AAA,23,23
BA,292,292
CEA,536,536
CEA,544,536
CEA,551,536
CEA,559,536
IA,1105,1105
MEA,403,403
MEA,411,403
MEA,418,403
MEA,426,403
MEA,472,403
MEA,480,403
MEA,487,403
MEA,435,403
PA,803,780
PA,818,780
GPe,1022,1022
GPi,1031,1031
PA,835,780
SI,342,342
MA0,298,298
PA,826,780
MS,904,564
MS,564,564
NDB,596,596
TRS,581,581
PA,809,780
BST,351,351
BST,359,351
BST,537,351
BST,498,351
BST,505,351
BST,513,351
BST,546,351
BST,521,351
BST,554,351
BST,562,351
BST,529,351
BST,367,351
BST,569,351
BST,578,351
BST,585,351
BST,594,351
BST,602,351
BAC,287,287
BS,343,8
IB,1129,343
TH,549,1129
DORsm,864,549
VENT,637,864
VAL,629,629
VM,685,685
VP,709,637
VPL,718,718
VPLpc,725,725
VPM,733,733
VPMpc,741,741
PF,406,930
SPFm,414,414
SPFp,422,422
SPA,609,609
PP,1044,1044
GENd,1008,864
MG,475,1008
MGd,1072,1072
MGv,1079,1079
MGm,1088,1088
LGd,170,170
LGd,496345664,170
LGd,496345668,170
LGd,496345672,170
DORpm,856,549
AT,138,231
LP,218,218
PO0,1020,1020
POL,1029,1029
SGN,325,325
AT,239,231
AV,255,255
AM,127,239
AMd,1096,1096
AMv,1104,1104
AD,64,64
IAM,1120,1120
IAD,1113,1113
LD,155,155
MED,444,856
IMD,59,59
MD0,362,362
MD0,617,362
MD0,626,362
MD0,636,362
SMT,366,366
PR,1077,1077
MTN,571,856
PVT,149,149
PT0,15,15
RE0,181,181
LM,51,210
RH0,189,189
CM,599,599
PCN,907,907
CL0,575,575
PF,930,930
RT,262,262
GENv,1014,856
IGL,27,27
LGv,178,178
LGv,300,178
LGv,316,178
SubG,321,321
EPI,958,856
MH0,483,483
LH,186,186
PIN,953,958
HY,1097,1129
PVZ,157,1097
SO0,390,5
ASO,332,332
ASO,432,332
PVH,38,38
PVH,71,38
PVH,47,38
PVH,79,38
PVH,103,38
PVH,652,38
PVH,660,38
PVH,94,38
PVH,55,38
PVH,87,38
PVH,110,38
PVa,30,30
PVi,118,118
ARH,223,223
PVR,141,1097
ADP,72,72
AHA,80,141
AVP,263,263
AVPV,272,272
DMH,830,830
DMH,668,830
DMH,676,830
DMH,684,830
MEPO,452,452
MPO,523,523
OV,763,763
PD,914,914
PS,1109,1109
SCH,1124,286
PVp,126,126
PVpo,133,133
SBPV,347,347
SCH,286,286
SFO,338,338
VLPO,689,689
MEZ,467,1097
AHN,88,88
AHN,700,88
AHN,708,88
AHN,716,88
AHN,724,88
MBO,331,467
LM,210,210
MM,491,491
Mmme,732,491
SUM,525,525
SUM,1110,525
SUM,1118,525
TM,557,331
TMd,1126,1126
TMv,1,1
MPN,515,515
MPN,740,515
MPN,748,515
MPN,756,515
PMd,980,980
PMv,1004,1004
PVHd,63,63
PVHd,439,63
PVH,447,38
PVH,455,38
PVH,464,38
VMH,693,693
VMH,761,693
VMH,769,693
VMH,777,693
VMH,785,693
PH,946,946
LZ,290,1097
LHA,194,194
LPO,226,226
PST,356,356
PSTN,364,364
RCH,173,173
STN0,470,470
TU0,614,614
ZI,797,797
A13,796,797
FF,804,797
ME,10671,1097
MB,313,343
MBsen,339,313
SCs,302,302
SCs,851,302
SCs,842,302
SCs,834,302
IC,4,339
ICc,811,811
ICd,820,820
ICe,828,828
NB,580,580
SAG,271,271
PBG,874,874
MEV,460,460
MBmot,323,313
SNr,381,381
VTA,749,749
RR,246,246
RNM,128,128
RNM,539,128
RNM,548,128
RNM,555,128
SCm,294,294
SCm,26,294
SCm,42,294
SCm,17,294
SCm,10,294
SCm,494,294
SCm,503,294
SCm,511,294
PAG,795,795
PR,50,1077
INC,67,795
ND,587,795
RT,1100,262
APN,215,215
MPT,531,531
NOT,628,628
NPC,634,634
OP0,706,706
PPT,1061,1061
PF,549009203,930
InCo,549009207,323
CUN,616,616
RN0,214,214
III,35,35
MA3,549009211,323
EW,975,975
IV,115,115
VTN,757,757
AT,231,231
LT,66,66
DT,75,323
MT,58,323
SNl,615,323
MBsta,348,313
SNc,374,374
PPN,1052,1052
RAmb,165,348
IF,12,12
IPN,100,100
RL,197,197
CLI,591,591
DR,872,872
HB,1065,343
P,771,1065
P-sen,1132,771
NLL,612,612
NLL,82,612
NLL,90,612
NLL,99,612
PSV,7,7
PB,867,867
